Framenum 	 SensorReading 	 TimeStamp 
 0,11,1437906704620
1,30,1437906704771
2,49,1437906704928
3,65,1437906705065
4,86,1437906705233
5,106,1437906705403
6,125,1437906705563
7,142,1437906705705
8,160,1437906705846
9,178,1437906705998
10,193,1437906706120
11,241,1437906706521
12,260,1437906706682
13,282,1437906706862
14,298,1437906706991
15,316,1437906707154
16,336,1437906707315
17,352,1437906707446
18,371,1437906707602
19,392,1437906707780
20,409,1437906707928
21,430,1437906708101
22,444,1437906708207
23,459,1437906708334
24,474,1437906708445
25,486,1437906708556
26,501,1437906708671
27,514,1437906708795
28,530,1437906708930
29,544,1437906709041
30,556,1437906709134
31,567,1437906709227
32,584,1437906709363
33,597,1437906709476
34,611,1437906709595
35,627,1437906709717
36,663,1437906710019
37,679,1437906710163
38,694,1437906710274
39,707,1437906710387
40,725,1437906710547
41,739,1437906710653
42,752,1437906710763
43,767,1437906710879
44,781,1437906711007
