Framenum 	 SensorReading 	 TimeStamp 
 0,8,1437460626924
1,27,1437460627077
2,40,1437460627183
3,53,1437460627296
4,66,1437460627396
5,77,1437460627497
6,90,1437460627604
7,102,1437460627697
8,123,1437460627872
9,135,1437460627974
10,147,1437460628069
11,158,1437460628168
12,170,1437460628270
13,181,1437460628359
14,193,1437460628459
15,223,1437460628697
16,235,1437460628797
17,247,1437460628897
18,265,1437460629060
19,278,1437460629161
20,291,1437460629268
21,304,1437460629372
22,320,1437460629508
23,332,1437460629602
24,343,1437460629704
25,355,1437460629804
26,369,1437460629912
27,382,1437460630026
28,402,1437460630191
29,415,1437460630293
30,426,1437460630394
31,438,1437460630494
32,456,1437460630645
33,469,1437460630749
34,484,1437460630869
35,497,1437460630983
36,510,1437460631085
37,520,1437460631171
38,538,1437460631327
39,556,1437460631472
40,580,1437460631662
41,602,1437460631850
42,619,1437460631999
43,639,1437460632158
44,657,1437460632309
45,699,1437460632653
46,722,1437460632842
47,740,1437460632996
48,772,1437460633264
49,790,1437460633413
50,808,1437460633569
51,828,1437460633727
52,845,1437460633868
