loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
2015-01-04 15:53:32.862,1,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.802377,-33.59487915039062,3.393926620483398,-21.85494232177734,55.6964225769043,54.78556823730469,10,1543544.017912458,-0.3278045654296875,-0.5956573486328125,-0.7738800048828125,1543544.010645083,-0.2988855038751569,0.1211309527050551,0.03792368023883736,1543543.991233167,-2.313950388367492,-0.3538802401468361,0.5968952270548765,-0.3070695698261261,-0.006351366173475981,0.1204593479633331,-0.04974663630127907,-0.03635717183351517,0.1145643666386604,XMagneticNorthZVertical,0.03764714626594695,0.3326641504933369,0.8822647687769808,-0.3309473060257019,-0.2866181135177612,-0.5620772838592529,-0.7758345007896423,-35.37060546875,2.25688648223877,-24.39633560180664,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.892,2,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.853829,-33.24565887451172,3.602752447128296,-22.50463104248047,55.13185501098633,54.22100067138672,10,1543544.029126875,-0.3355865478515625,-0.59149169921875,-0.792205810546875,1543544.010645083,-0.2988855038751569,0.1211309527050551,0.03792368023883736,1543543.991233167,-2.313950388367492,-0.3538802401468361,0.5968952270548765,-0.3070695698261261,-0.006351366173475981,0.1204593479633331,-0.04974663630127907,-0.03635717183351517,0.1145643666386604,XMagneticNorthZVertical,0.03764714626594695,0.3326641504933369,0.8822647687769808,-0.3309473060257019,-0.2866181135177612,-0.5620772838592529,-0.7758345007896423,-35.37060546875,2.25688648223877,-24.39633560180664,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.930,3,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.904962,-32.75675201416016,2.697833061218262,-24.30931854248047,55.0999755859375,54.18912124633789,10,1543544.040117917,-0.331878662109375,-0.5846405029296875,-0.79302978515625,1543544.02035125,-0.2270909419443647,0.187407711173312,0.01192536904526582,1543544.010645083,-2.312302734731184,-0.3567366437096718,0.5932231346098055,-0.3096147775650024,0.1335571706295013,0.0371580608189106,-0.04728589579463005,-0.03579701110720634,0.03478449210524559,XMagneticNorthZVertical,0.03941606624627387,0.3316257483495409,0.8822969055394094,-0.3316969904371316,-0.2895518839359283,-0.5590363740921021,-0.7769414782524109,-35.41171646118164,2.612154006958008,-24.30105972290039,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.934,4,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.931749,-31.35987281799316,2.140957355499268,-25.60869598388672,54.70648574829102,53.79563140869141,10,1543544.051141375,-0.3290252685546875,-0.579742431640625,-0.7967529296875,1543544.039763375,-0.02588725737611524,0.3929587399050068,-0.01856622753948741,1543544.02035125,-2.313184041429973,-0.3544128518854243,0.590730177682061,-0.2378202080726624,0.1998339146375656,0.01115975063294172,-0.03957616537809372,-0.0386897400021553,0.005036849528551102,XMagneticNorthZVertical,0.03906786351145571,0.330174612708372,0.8827313893814653,-0.3320296787945114,-0.2882283926010132,-0.5569676160812378,-0.7789168357849121,-35.41171646118164,2.612154006958008,-24.30105972290039,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.937,5,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.931749,-31.35987281799316,2.140957355499268,-25.60869598388672,54.70648574829102,53.79563140869141,10,1543544.062141375,-0.3280181884765625,-0.5807037353515625,-0.7986907958984375,1543544.049469458,0.07612672607602403,0.5558605753596277,-0.02796239249750498,1543544.039763375,-2.314295658544971,-0.3474406995481635,0.5885994593329317,-0.0366164967417717,0.40538489818573,-0.01933184266090393,-0.05239240080118179,-0.03629498928785324,-0.01018427591770887,XMagneticNorthZVertical,0.03662580243972515,0.3280972158533769,0.8832556380701443,-0.3329718180242935,-0.2831941545009613,-0.5551967024803162,-0.7820215225219727,-35.38158416748047,2.812636375427246,-24.32255935668945,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.939,6,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.931749,-31.35987281799316,2.140957355499268,-25.60869598388672,54.70648574829102,53.79563140869141,10,1543544.072704958,-0.3286590576171875,-0.59246826171875,-0.8027496337890625,1543544.049469458,0.07612672607602403,0.5558605753596277,-0.02796239249750498,1543544.039763375,-2.314295658544971,-0.3474406995481635,0.5885994593329317,-0.0366164967417717,0.40538489818573,-0.01933184266090393,-0.05239240080118179,-0.03629498928785324,-0.01018427591770887,XMagneticNorthZVertical,0.03662580243972515,0.3280972158533769,0.8832556380701443,-0.3329718180242935,-0.2831941545009613,-0.5551967024803162,-0.7820215225219727,-35.38158416748047,2.812636375427246,-24.32255935668945,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.944,7,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.931749,-31.35987281799316,2.140957355499268,-25.60869598388672,54.70648574829102,53.79563140869141,10,1543544.083684417,-0.31353759765625,-0.6113433837890625,-0.7980804443359375,1543544.068881667,0.2935474637862021,0.9121265480816318,-0.07819440434636155,1543544.049469458,-2.31446889977858,-0.3420746589872327,0.5890788936442435,0.06539751589298248,0.5682867169380188,-0.02872800640761852,-0.05297425389289856,-0.02904510125517845,-0.009750733152031898,XMagneticNorthZVertical,0.0341825358241497,0.3274019367670108,0.8833325646286913,-0.3337110914376869,-0.2789044082164764,-0.5555953979492188,-0.7832790613174438,-35.25674438476562,2.83902645111084,-24.50012969970703,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.949,8,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.931749,-31.35987281799316,2.140957355499268,-25.60869598388672,54.70648574829102,53.79563140869141,10,1543544.094757375,-0.25970458984375,-0.6240234375,-0.762939453125,1543544.078588042,0.3937726019341351,1.064416485540614,-0.1315564294243882,1543544.068881667,-2.312991834261128,-0.3285486576685112,0.5934348136088866,0.2828212976455688,0.9245432019233704,-0.07895151525735855,-0.06051704660058022,-0.0214918740093708,-0.01400918699800968,XMagneticNorthZVertical,0.02704528671794646,0.3269980856863716,0.8828593429120495,-0.3360062072237495,-0.2675011456012726,-0.5592118501663208,-0.7846816182136536,-35.25674438476562,2.83902645111084,-24.50012969970703,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.951,9,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.931749,-31.35987281799316,2.140957355499268,-25.60869598388672,54.70648574829102,53.79563140869141,10,1543544.105432833,-0.222808837890625,-0.61761474609375,-0.7556915283203125,1543544.078588042,0.3937726019341351,1.064416485540614,-0.1315564294243882,1543544.068881667,-2.312991834261128,-0.3285486576685112,0.5934348136088866,0.2828212976455688,0.9245432019233704,-0.07895151525735855,-0.06051704660058022,-0.0214918740093708,-0.01400918699800968,XMagneticNorthZVertical,0.02704528671794646,0.3269980856863716,0.8828593429120495,-0.3360062072237495,-0.2675011456012726,-0.5592118501663208,-0.7846816182136536,-35.25674438476562,2.83902645111084,-24.50012969970703,2,10.192.28.101,0.0.0.0,1,0
2015-01-04 15:53:32.954,10,1420367011.34701,28.54473885411696,77.18998658520346,218.0451,-1,-1,10,65,-9999,1420367012.931749,-31.35987281799316,2.140957355499268,-25.60869598388672,54.70648574829102,53.79563140869141,10,1543544.11621125,-0.1975860595703125,-0.614105224609375,-0.7418365478515625,1543544.097999875,0.5582390445291775,1.36945761995938,-0.211672304497242,1543544.078588042,-2.312963779208966,-0.3181608030563289,0.5972572397986129,0.3830464780330658,1.076833128929138,-0.132313534617424,-0.06999392062425613,-0.03009160608053207,-0.01736766286194324,XMagneticNorthZVertical,0.0216473296949045,0.3268645099468269,0.8825930402374739,-0.3372246978126993,-0.258665144443512,-0.5623766779899597,-0.7853819727897644,-34.77081298828125,2.696362495422363,-25.20069313049316,2,10.192.28.101,0.0.0.0,1,0
