time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az,id
766319.673607,-0.735882,0.677002,-0.012084,-0.676936,-0.735981,-0.009482,-0.015313,0.001203,0.999882,-0.006169,-0.008496,-0.004799,-23.398998,-21.558905,-24.391621,0.012084,0.009482,-0.999882,0.002946,-0.004004,0.025975,0
766319.683314,-0.735811,0.677080,-0.012016,-0.677015,-0.735909,-0.009482,-0.015263,0.001158,0.999883,-0.001203,-0.009603,-0.007214,-23.398998,-21.558905,-24.391621,0.011975,0.009513,-0.999883,0.003054,-0.004035,0.025976,0
766319.693020,-0.735811,0.677080,-0.012016,-0.677015,-0.735909,-0.009482,-0.015263,0.001158,0.999883,-0.000065,-0.004777,-0.005959,-23.398998,-21.558905,-24.391621,0.012016,0.009482,-0.999883,0.003899,-0.001074,0.026982,0
766319.702727,-0.735842,0.677048,-0.011989,-0.676982,-0.735939,-0.009504,-0.015257,0.001123,0.999883,-0.000314,0.001157,0.007486,-23.398790,-21.561909,-24.389170,0.011989,0.009504,-0.999883,-0.001964,-0.001035,0.027883,0
766319.712434,-0.735733,0.677167,-0.011925,-0.677101,-0.735829,-0.009533,-0.015230,0.001061,0.999883,-0.001303,0.000044,-0.012034,-23.398790,-21.561909,-24.389170,0.011958,0.009430,-0.999884,-0.000895,-0.002960,0.031729,0
766319.722140,-0.735733,0.677167,-0.011925,-0.677101,-0.735829,-0.009533,-0.015230,0.001061,0.999883,-0.005080,0.003575,-0.009598,-23.398790,-21.561909,-24.389170,0.011925,0.009533,-0.999883,-0.002938,0.001880,0.027914,0
766319.731847,-0.735702,0.677201,-0.011881,-0.677137,-0.735797,-0.009417,-0.015120,0.001117,0.999885,0.007192,0.003762,-0.007084,-23.396700,-21.566685,-24.386953,0.011881,0.009417,-0.999885,-0.002757,-0.002902,0.028800,0
766319.741554,-0.735636,0.677269,-0.012082,-0.677205,-0.735734,-0.009420,-0.015269,0.001252,0.999883,-0.001605,0.010802,-0.001000,-23.395803,-21.566580,-24.387907,0.012056,0.009476,-0.999882,0.003782,0.001861,0.027028,0
766319.751260,-0.735636,0.677269,-0.012082,-0.677205,-0.735734,-0.009420,-0.015269,0.001252,0.999883,-0.002746,0.007186,-0.003466,-23.395803,-21.566580,-24.387907,0.012082,0.009420,-0.999883,-0.003949,-0.002889,0.028783,0
766319.760968,-0.735607,0.677299,-0.012184,-0.677235,-0.735707,-0.009368,-0.015309,0.001360,0.999882,0.008224,0.013381,-0.003363,-23.395803,-21.566580,-24.387907,0.012184,0.009368,-0.999882,-0.004052,-0.002838,0.028782,0
766319.770675,-0.735621,0.677282,-0.012293,-0.677220,-0.735722,-0.009284,-0.015332,0.001495,0.999881,0.004585,0.006071,0.002668,-23.387665,-21.572762,-24.390247,0.012273,0.009304,-0.999881,-0.000249,-0.001827,0.027881,0
766319.780381,-0.735621,0.677282,-0.012293,-0.677220,-0.735722,-0.009284,-0.015332,0.001495,0.999881,-0.001471,0.001167,0.001383,-23.387665,-21.572762,-24.390247,0.012293,0.009284,-0.999881,-0.000284,0.000161,0.025028,0
766319.790088,-0.735619,0.677285,-0.012239,-0.677225,-0.735719,-0.009128,-0.015187,0.001574,0.999883,0.011934,0.007481,0.002700,-23.387665,-21.572762,-24.390247,0.012239,0.009128,-0.999883,-0.006029,-0.002567,0.027807,0
766319.799795,-0.735636,0.677264,-0.012371,-0.677204,-0.735738,-0.009166,-0.015310,0.001635,0.999881,-0.000302,0.000037,0.007459,-23.385363,-21.578436,-24.387432,0.012297,0.009164,-0.999882,0.001512,0.003134,0.032811,0
766319.809501,-0.735636,0.677264,-0.012371,-0.677204,-0.735738,-0.009166,-0.015310,0.001635,0.999881,0.008362,0.002633,-0.001008,-23.385363,-21.578436,-24.387432,0.012371,0.009166,-0.999881,0.001484,0.002171,0.029911,0
766319.819208,-0.735698,0.677196,-0.012448,-0.677136,-0.735801,-0.009150,-0.015356,0.001698,0.999881,0.003418,-0.001095,0.006255,-23.385363,-21.578436,-24.387432,0.012448,0.009150,-0.999881,0.002383,0.002157,0.031848,0
766319.828915,-0.735728,0.677165,-0.012358,-0.677102,-0.735830,-0.009346,-0.015422,0.001491,0.999880,0.001034,-0.003519,0.002569,-23.382998,-21.577839,-24.390224,0.012416,0.009375,-0.999879,-0.000743,0.010842,0.028092,0
766319.838621,-0.735728,0.677165,-0.012358,-0.677102,-0.735830,-0.009346,-0.015422,0.001491,0.999880,0.004721,-0.005884,0.006235,-23.382998,-21.577839,-24.390224,0.012358,0.009346,-0.999880,-0.000685,0.010872,0.028093,0
766319.848328,-0.735717,0.677178,-0.012303,-0.677114,-0.735818,-0.009424,-0.015435,0.001397,0.999880,-0.006153,-0.012029,-0.002402,-23.382998,-21.577839,-24.390224,0.012303,0.009424,-0.999880,0.001597,0.000937,0.028917,0
766319.858036,-0.735671,0.677224,-0.012510,-0.677158,-0.735776,-0.009544,-0.015668,0.001450,0.999876,-0.005009,-0.005987,-0.003578,-23.385136,-21.569380,-24.395660,0.012362,0.009501,-0.999878,0.004453,0.000829,0.029923,0
766319.867742,-0.735671,0.677224,-0.012510,-0.677158,-0.735776,-0.009544,-0.015668,0.001450,0.999876,0.001086,-0.003482,-0.002307,-23.385136,-21.569380,-24.395660,0.012510,0.009544,-0.999876,0.008166,0.002709,0.029020,0
766319.877449,-0.735664,0.677232,-0.012489,-0.677166,-0.735768,-0.009549,-0.015656,0.001432,0.999876,0.005971,-0.002206,-0.001052,-23.384407,-21.567579,-24.397951,0.012489,0.009549,-0.999876,-0.000495,-0.000104,0.025984,0
766319.887156,-0.735677,0.677216,-0.012582,-0.677150,-0.735783,-0.009574,-0.015742,0.001477,0.999875,-0.003909,-0.002387,0.002545,-23.384407,-21.567579,-24.397951,0.012554,0.009527,-0.999876,0.003285,0.000819,0.029905,0
766319.896862,-0.735677,0.677216,-0.012582,-0.677150,-0.735783,-0.009574,-0.015742,0.001477,0.999875,0.007160,0.000221,-0.001030,-23.384407,-21.567579,-24.397951,0.012582,0.009574,-0.999875,0.000281,0.001748,0.032773,0
766319.906569,-0.735702,0.677189,-0.012569,-0.677122,-0.735808,-0.009671,-0.015798,0.001395,0.999874,0.000953,0.000092,0.003809,-23.378796,-21.567970,-24.402981,0.012569,0.009671,-0.999874,-0.000698,0.004687,0.025097,0
766319.916276,-0.735763,0.677126,-0.012428,-0.677058,-0.735866,-0.009691,-0.015707,0.001284,0.999876,0.007087,0.000184,0.005066,-23.378796,-21.567970,-24.402981,0.012475,0.009689,-0.999875,-0.004525,0.002701,0.031766,0
766319.925982,-0.735763,0.677126,-0.012428,-0.677058,-0.735866,-0.009691,-0.015707,0.001284,0.999876,-0.006348,-0.004842,0.003736,-23.378796,-21.567970,-24.402981,0.012428,0.009691,-0.999876,-0.004478,0.002699,0.031767,0
766319.935689,-0.735764,0.677125,-0.012394,-0.677057,-0.735867,-0.009662,-0.015663,0.001282,0.999876,0.005979,-0.002200,-0.002271,-23.383533,-21.560942,-24.404654,0.012394,0.009662,-0.999876,-0.001393,-0.000248,0.028868,0
766319.945396,-0.735787,0.677100,-0.012342,-0.677032,-0.735890,-0.009671,-0.015631,0.001240,0.999877,-0.003944,0.000109,0.002547,-23.383533,-21.560942,-24.404654,0.012345,0.009618,-0.999878,-0.003251,-0.002111,0.027847,0
766319.955102,-0.735787,0.677100,-0.012342,-0.677032,-0.735890,-0.009671,-0.015631,0.001240,0.999877,-0.008770,-0.004774,0.001270,-23.383533,-21.560942,-24.404654,0.012342,0.009671,-0.999877,0.002597,-0.002256,0.029861,0
766319.964810,-0.735797,0.677091,-0.012295,-0.677023,-0.735899,-0.009648,-0.015580,0.001225,0.999878,-0.002725,0.002547,0.000131,-23.387856,-21.561424,-24.400084,0.012295,0.009648,-0.999878,-0.003246,-0.001195,0.030746,0
766319.974517,-0.735800,0.677087,-0.012328,-0.677022,-0.735902,-0.009479,-0.015490,0.001372,0.999879,-0.000241,0.003812,-0.003505,-23.389439,-21.560984,-24.398954,0.012342,0.009557,-0.999878,-0.000242,-0.006063,0.032639,0
766319.984223,-0.735800,0.677087,-0.012328,-0.677022,-0.735902,-0.009479,-0.015490,0.001372,0.999879,0.002164,0.001397,0.005031,-23.389439,-21.560984,-24.398954,0.012328,0.009479,-0.999879,-0.004149,-0.004916,0.027787,0
766319.993930,-0.735830,0.677056,-0.012191,-0.676989,-0.735930,-0.009614,-0.015481,0.001179,0.999879,-0.008793,-0.004792,0.003709,-23.389439,-21.560984,-24.398954,0.012191,0.009614,-0.999879,-0.004241,0.002791,0.029848,0
766320.003637,-0.735812,0.677077,-0.012146,-0.677009,-0.735911,-0.009640,-0.015465,0.001130,0.999880,0.001019,-0.002218,0.002564,-23.389694,-21.563459,-24.396521,0.012133,0.009615,-0.999880,-0.004183,0.002790,0.029848,0
766320.013343,-0.735812,0.677077,-0.012146,-0.677009,-0.735911,-0.009640,-0.015465,0.001130,0.999880,-0.005076,-0.004716,0.001293,-23.389694,-21.563459,-24.396521,0.012146,0.009640,-0.999880,0.002808,-0.001217,0.025057,0
766320.023050,-0.735797,0.677094,-0.012109,-0.677026,-0.735896,-0.009671,-0.015459,0.001082,0.999880,-0.002615,-0.002250,-0.002335,-23.389694,-21.563459,-24.396521,0.012109,0.009671,-0.999880,-0.000115,-0.001233,0.028856,0
766320.032758,-0.735778,0.677116,-0.012029,-0.677048,-0.735875,-0.009696,-0.015417,0.001010,0.999881,-0.005111,0.002537,-0.005980,-23.393557,-21.560234,-24.395670,0.012029,0.009696,-0.999881,-0.005864,-0.002189,0.030703,0
766320.042464,-0.735733,0.677165,-0.012042,-0.677096,-0.735831,-0.009699,-0.015428,0.001018,0.999880,-0.002744,0.007379,-0.004718,-23.393557,-21.560234,-24.395670,0.012042,0.009699,-0.999880,-0.002978,-0.001215,0.027865,0
766320.052171,-0.735738,0.677159,-0.012062,-0.677091,-0.735836,-0.009695,-0.015440,0.001034,0.999880,0.002206,0.001414,0.001373,-23.393557,-21.560234,-24.395670,0.012062,0.009695,-0.999880,-0.000099,-0.000295,0.030795,0
766320.061878,-0.735750,0.677142,-0.012260,-0.677074,-0.735852,-0.009687,-0.015581,0.001173,0.999878,-0.002751,0.006163,-0.002286,-23.392973,-21.561590,-24.395031,0.012129,0.009696,-0.999879,-0.000182,-0.001304,0.035600,0
766320.071584,-0.735750,0.677142,-0.012260,-0.677074,-0.735852,-0.009687,-0.015581,0.001173,0.999878,-0.002759,0.002523,0.003788,-23.392973,-21.561590,-24.395031,0.012260,0.009687,-0.999878,0.004662,-0.002256,0.026016,0
766320.081291,-0.735734,0.677159,-0.012297,-0.677090,-0.735836,-0.009727,-0.015635,0.001170,0.999877,-0.007582,0.002491,-0.004776,-23.392973,-21.561590,-24.395031,0.012297,0.009727,-0.999877,0.004625,-0.002296,0.026015,0
766320.090998,-0.735706,0.677186,-0.012468,-0.677119,-0.735810,-0.009624,-0.015691,0.001361,0.999876,0.003418,0.001494,0.003814,-23.387877,-21.561279,-24.400192,0.012386,0.009653,-0.999877,0.002674,-0.004144,0.023070,0
766320.100704,-0.735706,0.677186,-0.012468,-0.677119,-0.735810,-0.009624,-0.015691,0.001361,0.999876,0.001027,0.001489,-0.002296,-23.387877,-21.561279,-24.400192,0.012468,0.009624,-0.999876,0.002425,-0.000271,0.030836,0
766320.110411,-0.735649,0.677248,-0.012483,-0.677181,-0.735754,-0.009623,-0.015701,0.001374,0.999876,-0.002560,0.000267,-0.009641,-23.384674,-21.562946,-24.401791,0.012483,0.009623,-0.999876,-0.001497,-0.000208,0.029844,0
766320.120119,-0.735695,0.677198,-0.012499,-0.677129,-0.735800,-0.009775,-0.015816,0.001272,0.999874,-0.001561,0.005020,0.003805,-23.384674,-21.562946,-24.401791,0.012523,0.009673,-0.999875,-0.000606,0.001710,0.027936,0
