time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az,id
764954.260792,0.999701,-0.000696,0.024425,-0.000677,0.998422,0.056148,-0.024425,-0.056148,0.998124,-0.020738,-0.006403,-0.001524,0.000000,0.000000,0.000000,-0.024425,-0.056148,-0.998124,0.000773,0.004879,0.046921,0
764954.270499,0.999692,-0.000833,0.024806,-0.000540,0.998470,0.055295,-0.024814,-0.055291,0.998162,-0.024304,-0.014887,-0.000377,0.000000,0.000000,0.000000,-0.024539,-0.055898,-0.998135,-0.001020,0.006734,0.033459,0
764954.280206,0.999692,-0.000833,0.024806,-0.000540,0.998470,0.055295,-0.024814,-0.055291,0.998162,-0.027989,-0.010097,-0.007686,0.000000,0.000000,0.000000,-0.024671,-0.055646,-0.998146,-0.001727,0.002591,0.030479,0
764954.289912,0.999688,-0.000986,0.024952,-0.000389,0.998486,0.055008,-0.024969,-0.055001,0.998174,-0.036439,-0.017432,-0.011438,0.000000,0.000000,0.000000,-0.024806,-0.055295,-0.998162,0.001292,0.004193,0.026726,0
764954.299619,0.999688,-0.000986,0.024952,-0.000389,0.998486,0.055008,-0.024969,-0.055001,0.998174,-0.026620,-0.016068,-0.011371,0.000000,0.000000,0.000000,-0.024952,-0.055008,-0.998174,0.001438,0.003906,0.026739,0
764954.309326,0.999679,-0.001185,0.025291,-0.000195,0.998516,0.054465,-0.025318,-0.054453,0.998195,-0.026823,-0.018688,-0.009858,0.000000,0.000000,0.000000,-0.025127,-0.054744,-0.998184,0.008525,0.002589,0.023911,0
764954.319032,0.999679,-0.001185,0.025291,-0.000195,0.998516,0.054465,-0.025318,-0.054453,0.998195,-0.028112,-0.015101,-0.009845,0.000000,0.000000,0.000000,-0.025291,-0.054465,-0.998195,0.008628,0.004279,0.024913,0
764954.328739,0.999675,-0.001243,0.025450,-0.000139,0.998528,0.054241,-0.025480,-0.054227,0.998204,-0.020770,-0.018635,-0.001286,0.000000,0.000000,0.000000,-0.025450,-0.054241,-0.998204,0.006712,0.008007,0.025929,0
764954.338446,0.999668,-0.001045,0.025728,-0.000340,0.998553,0.053767,-0.025747,-0.053758,0.998222,-0.023505,-0.010329,0.010938,0.000000,0.000000,0.000000,-0.025588,-0.054035,-0.998211,0.007857,0.004795,0.031704,0
764954.348152,0.999668,-0.001045,0.025728,-0.000340,0.998553,0.053767,-0.025747,-0.053758,0.998222,-0.027155,-0.012795,0.010901,0.000000,0.000000,0.000000,-0.025728,-0.053767,-0.998222,0.006975,0.007533,0.026924,0
764954.357859,0.999666,-0.000972,0.025824,-0.000411,0.998569,0.053469,-0.025839,-0.053462,0.998236,-0.029701,-0.009242,0.013345,0.000000,0.000000,0.000000,-0.025824,-0.053469,-0.998236,0.002127,0.009234,0.028845,0
764954.367565,0.999663,-0.000735,0.025947,-0.000620,0.998638,0.052174,-0.025950,-0.052173,0.998301,-0.024740,-0.012774,0.014574,0.000000,0.000000,0.000000,-0.025865,-0.052463,-0.998288,0.001299,0.006336,0.021145,0
764954.377271,0.999663,-0.000735,0.025947,-0.000620,0.998638,0.052174,-0.025950,-0.052173,0.998301,-0.016065,-0.015022,0.012175,0.000000,0.000000,0.000000,-0.025947,-0.052174,-0.998301,0.001457,0.002064,0.025889,0
764954.386979,0.999659,-0.000639,0.026096,-0.000720,0.998644,0.052048,-0.026094,-0.052049,0.998304,-0.009995,-0.010112,0.012240,0.000000,0.000000,0.000000,-0.026096,-0.052048,-0.998304,0.001605,0.001938,0.025891,0
764954.396685,0.999671,-0.000500,0.025640,-0.000822,0.998670,0.051555,-0.025631,-0.051559,0.998341,0.002271,-0.001437,0.002612,0.000000,0.000000,0.000000,-0.026133,-0.051566,-0.998328,0.000559,0.005424,0.025015,0
764954.406391,0.999671,-0.000500,0.025640,-0.000822,0.998670,0.051555,-0.025631,-0.051559,0.998341,0.000762,0.010528,0.009988,0.000000,0.000000,0.000000,-0.025640,-0.051555,-0.998341,0.005055,0.001399,0.025975,0
764954.416098,0.999684,-0.000493,0.025129,-0.000809,0.998659,0.051765,-0.025121,-0.051769,0.998343,0.003543,-0.001389,-0.001038,0.000000,0.000000,0.000000,-0.025129,-0.051765,-0.998343,0.005552,-0.000389,0.027884,0
764954.425805,0.999707,-0.000492,0.024207,-0.000760,0.998662,0.051698,-0.024200,-0.051701,0.998369,0.005929,-0.000169,0.003859,0.000000,0.000000,0.000000,-0.024540,-0.051906,-0.998350,0.007877,0.000728,0.026991,0
