time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az,id
765508.917041,1.000000,-0.000003,-0.000009,0.000003,1.000000,-0.000036,0.000009,0.000036,1.000000,-0.007195,0.001715,-0.000521,0.000000,0.000000,0.000000,0.000009,0.000036,-1.000000,0.000000,0.000000,0.000000,0
765508.946161,0.999966,0.000144,-0.008221,-0.000233,0.999941,-0.010889,0.008219,0.010890,0.999907,-0.007191,-0.001920,0.004334,0.000000,0.000000,0.000000,0.008257,0.010794,-0.999908,0.003615,0.003579,0.024169,0
765508.955868,0.999966,0.000144,-0.008221,-0.000233,0.999941,-0.010889,0.008219,0.010890,0.999907,-0.006002,-0.001921,0.007999,0.000000,0.000000,0.000000,0.008263,0.010848,-0.999907,-0.000206,-0.001388,0.028853,0
765508.965574,0.999966,0.000144,-0.008221,-0.000233,0.999941,-0.010889,0.008219,0.010890,0.999907,-0.002279,-0.003055,0.006796,0.000000,0.000000,0.000000,0.008221,0.010889,-0.999907,0.003468,0.009329,0.027159,0
765508.975281,0.999967,0.000146,-0.008131,-0.000234,0.999941,-0.010897,0.008128,0.010899,0.999908,-0.003236,-0.013848,-0.001808,0.000000,0.000000,0.000000,0.008131,0.010897,-0.999908,0.000750,0.003431,0.032806,0
765508.984988,0.999967,0.000124,-0.008113,-0.000212,0.999941,-0.010887,0.008111,0.010888,0.999908,-0.000996,-0.005433,0.005570,0.000000,0.000000,0.000000,0.008059,0.010894,-0.999908,0.005811,0.002473,0.022262,0
765508.994694,0.999967,0.000124,-0.008113,-0.000212,0.999941,-0.010887,0.008111,0.010888,0.999908,0.005085,0.005545,-0.004082,0.000000,0.000000,0.000000,0.008113,0.010887,-0.999908,-0.002162,0.004464,0.031844,0
765509.004401,0.999967,0.000193,-0.008073,-0.000280,0.999941,-0.010823,0.008070,0.010825,0.999909,0.001416,-0.004204,0.008030,0.000000,0.000000,0.000000,0.008073,0.010823,-0.999909,0.000976,-0.000355,0.024079,0
765509.014108,0.999967,0.000183,-0.008121,-0.000270,0.999942,-0.010813,0.008119,0.010815,0.999909,-0.002376,0.005382,0.003187,0.000000,0.000000,0.000000,0.008109,0.010833,-0.999908,0.000940,-0.000366,0.024078,0
765509.023814,0.999967,0.000183,-0.008121,-0.000270,0.999942,-0.010813,0.008119,0.010815,0.999909,0.003960,-0.001696,-0.002913,0.000000,0.000000,0.000000,0.008121,0.010813,-0.999909,0.001843,-0.000407,0.029877,0
765509.033521,0.999967,0.000190,-0.008175,-0.000278,0.999941,-0.010843,0.008173,0.010845,0.999908,-0.003632,0.007773,0.001974,0.000000,0.000000,0.000000,0.008175,0.010843,-0.999908,0.004764,-0.001443,0.029891,0
