time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az
762085.647066,0.999719,0.000082,-0.023709,0.000026,0.999990,0.004551,0.023709,-0.004550,0.999709,0.002611,0.001005,0.005660,0.000000,0.000000,0.000000,0.023709,-0.004551,-0.999709,-0.000592,0.000126,0.024763
762085.676186,0.999718,0.000097,-0.023730,0.000011,0.999990,0.004529,0.023730,-0.004528,0.999708,-0.002360,0.005723,0.002080,0.000000,0.000000,0.000000,0.023730,-0.004529,-0.999708,0.001325,-0.002979,0.038221
762085.685893,0.999718,0.000010,-0.023750,0.000097,0.999990,0.004482,0.023749,-0.004483,0.999708,-0.003475,0.004549,-0.006468,0.000000,0.000000,0.000000,0.023782,-0.004480,-0.999707,0.000221,0.002954,0.028668
762085.695599,0.999718,0.000010,-0.023750,0.000097,0.999990,0.004482,0.023749,-0.004483,0.999708,0.002777,-0.004996,-0.001609,0.000000,0.000000,0.000000,0.023750,-0.004482,-0.999708,-0.001624,0.002071,0.019972
762085.705305,0.999719,-0.000037,-0.023718,0.000144,0.999990,0.004503,0.023718,-0.004505,0.999709,0.003955,-0.000153,-0.004012,0.000000,0.000000,0.000000,0.023718,-0.004503,-0.999709,0.000330,0.002031,0.024809
762085.715012,0.999720,-0.000069,-0.023660,0.000176,0.999990,0.004520,0.023659,-0.004523,0.999710,0.006474,-0.003719,-0.004018,0.000000,0.000000,0.000000,0.023687,-0.004536,-0.999709,-0.001607,0.001042,0.031524
762085.724718,0.999720,-0.000069,-0.023660,0.000176,0.999990,0.004520,0.023659,-0.004523,0.999710,-0.004743,-0.001553,0.005681,0.000000,0.000000,0.000000,0.023660,-0.004520,-0.999710,0.000236,0.004917,0.034500
762085.734425,0.999720,-0.000043,-0.023657,0.000149,0.999990,0.004516,0.023657,-0.004519,0.999710,0.003879,-0.001404,0.004515,0.000000,0.000000,0.000000,0.023657,-0.004516,-0.999710,0.000269,0.004944,0.031601
762085.744132,0.999721,-0.000179,-0.023600,0.000285,0.999990,0.004520,0.023598,-0.004526,0.999711,-0.005816,-0.002706,-0.006524,0.000000,0.000000,0.000000,0.023624,-0.004482,-0.999711,-0.001713,0.008892,0.024903
762085.753838,0.999721,-0.000179,-0.023600,0.000285,0.999990,0.004520,0.023598,-0.004526,0.999711,0.006503,-0.001280,-0.010100,0.000000,0.000000,0.000000,0.023600,-0.004520,-0.999711,-0.001688,0.008930,0.024904
