ax: 0.17887802   ay: 0.49651748    az: 9.78096 time: 100228903
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 119761941
ax: 0.199086   ay: 0.49651748    az: 9.78081 time: 101999085
ax: 0.19893631   ay: 0.48544052    az: 9.78096 time: 117686555
ax: 0.19893631   ay: 0.47855484    az: 9.78081 time: 120006104
ax: 0.19609222   ay: 0.47211823    az: 9.78096 time: 119609341
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 100350983
ax: 0.18396744   ay: 0.47406417    az: 9.78096 time: 119517777
ax: 0.19609222   ay: 0.49666718    az: 9.78096 time: 101297118
ax: 0.199086   ay: 0.47825545    az: 9.780661 time: 120433388
ax: 0.17468673   ay: 0.46149033    az: 9.78096 time: 118083321
ax: 0.16869919   ay: 0.49681687    az: 9.78111 time: 106424539
ax: 0.19893631   ay: 0.4764592    az: 9.78096 time: 113291620
ax: 0.19878662   ay: 0.49666718    az: 9.78096 time: 100106823
ax: 0.1950444   ay: 0.49651748    az: 9.78081 time: 120097665
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 120128185
ax: 0.199086   ay: 0.4815486    az: 9.762848 time: 119487258
ax: 0.19893631   ay: 0.48094985    az: 9.7658415 time: 100137341
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 120006106
ax: 0.19878662   ay: 0.49651748    az: 9.78081 time: 100259423
ax: 0.19893631   ay: 0.4857399    az: 9.78096 time: 119487256
ax: 0.19878662   ay: 0.49666718    az: 9.78111 time: 100289944
ax: 0.19878662   ay: 0.49546966    az: 9.78081 time: 101754922
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 118724248
ax: 0.19878662   ay: 0.49681687    az: 9.78096 time: 100869831
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 118510606
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 120372348
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 121837326
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 117106669
ax: 0.16585511   ay: 0.49651748    az: 9.78081 time: 100045781
ax: 0.1965413   ay: 0.49651748    az: 9.78096 time: 102304288
ax: 0.19878662   ay: 0.49681687    az: 9.782607 time: 117594994
ax: 0.199086   ay: 0.4963678    az: 9.7989235 time: 100167862
ax: 0.19893631   ay: 0.49666718    az: 9.816137 time: 100320463
ax: 0.19878662   ay: 0.49681687    az: 9.788145 time: 119365177
ax: 0.19893631   ay: 0.49651748    az: 9.814041 time: 100137342
ax: 0.17199235   ay: 0.49666718    az: 9.8165865 time: 120311309
ax: 0.19878662   ay: 0.49681687    az: 9.818981 time: 100473064
ax: 0.19893631   ay: 0.49606842    az: 9.796528 time: 119029453
ax: 0.19833755   ay: 0.49681687    az: 9.818981 time: 121837327
ax: 0.19848724   ay: 0.49666718    az: 9.816137 time: 117991759
ax: 0.19893631   ay: 0.49666718    az: 9.819281 time: 100167861
ax: 0.199086   ay: 0.4815486    az: 9.814191 time: 120280788
ax: 0.19893631   ay: 0.49397278    az: 9.784103 time: 119487257
