Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Imid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25378418,0.11491394,9.821014,-0.041137695,0.054763794,9.806351,0.0,0.0,0.0,0.0,0.0,0.0,0
0.004455566,0.6668253,0.74521124,-0.0020527001,-0.7452056,0.6668021,-0.006605629,-0.003553844,0.005934484,0.9999761,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.04788208,0.0143585205,9.892838,-0.034851074,0.05819702,9.806351,0.0,0.0,0.0,-21.955872,19.592285,-19.651794,0
0.008911133,0.66713095,0.74493563,-0.0026689859,-0.7449348,0.6671077,-0.006281458,-0.002898781,0.006178776,0.99997675,0.999859,0.016783983,-5.6959916E-4,-0.016784249,0.99985904,-4.6737527E-4,5.616744E-4,4.7686967E-4,0.9999997,0.028717041,0.11012268,10.036484,-0.028427124,0.06059265,9.806351,0.08201599,-0.1448822,0.007446289,-21.955872,19.592285,-19.651794,0
0.013336182,0.6673149,0.74476945,-0.0030400911,-0.74477124,0.66729116,-0.0061856387,-0.002578249,0.006391941,0.9999763,0.9994469,0.03323333,-0.0011471519,-0.033234235,0.9994473,-7.811745E-4,0.0011205568,8.1886724E-4,0.999999,0.0622406,0.07182312,10.151413,-0.025283813,0.062683105,9.806351,0.052200317,-0.14381409,0.004257202,-21.955872,19.592285,-19.651794,0
0.017791748,0.6608134,0.7505434,-0.0032045422,-0.75054556,0.6607881,-0.006358074,-0.0026544873,0.006606655,0.99997467,0.99877995,0.04936316,-0.0013738491,-0.049364652,0.99878025,-0.001076236,0.001319047,0.0011427426,0.99999845,0.028717041,0.17237854,10.017334,-0.026031494,0.06478882,9.806351,0.04899597,-0.06285095,-0.0010681152,-22.135925,19.412231,-18.096924,0
0.022247314,0.6607086,0.7506366,-0.0029765156,-0.7506368,0.66068304,-0.006502304,-0.002914334,0.006530411,0.9999744,0.9978619,0.065345526,-0.0012375083,-0.06534718,0.9978617,-0.0013508615,0.0011465894,0.0014288409,0.99999833,0.07661438,0.12449646,10.127472,-0.028579712,0.06404114,9.806351,0.040481567,0.02128601,-0.004272461,-22.135925,19.412231,-18.096924,0
0.026702881,0.66052806,0.750797,-0.002583628,-0.7507939,0.660502,-0.0067638513,-0.0033717873,0.006407485,0.9999738,0.9967126,0.08101371,-8.76648E-4,-0.08101486,0.99671197,-0.0013667541,7.6303974E-4,0.0014332825,0.9999987,-0.10055542,0.1819458,10.09874,-0.033065796,0.06283569,9.806351,-0.022354126,0.06921387,-0.008529663,-22.135925,19.412231,-18.096924,0
0.031158447,0.6441631,0.7648844,-0.0023695673,-0.7648792,0.6441377,-0.0068024467,-0.0036767584,0.006194319,0.9999741,0.9953501,0.09632153,-3.915521E-4,-0.09632197,0.9953493,-0.0013291707,2.6170336E-4,0.0013607055,0.999999,-0.09576416,0.07661438,10.00296,-0.03605652,0.06074524,9.806351,-0.039398193,0.09585571,-0.0010681152,-21.418762,17.977905,-19.47937,0
0.035583496,0.64399165,0.76502967,-0.0020469239,-0.7650225,0.6439674,-0.0068076844,-0.003889929,0.0059500355,0.9999747,0.9937422,0.11169788,-3.4160577E-5,-0.111697845,0.99374145,-0.0012473846,-1.05383435E-4,0.0012433943,0.9999992,-0.22505188,0.09576416,9.916779,-0.038146973,0.05834961,9.806351,-0.04899597,0.06602478,0.0063934326,-21.418762,17.977905,-19.47937,0
0.040039062,0.64384323,0.76515543,-0.0017676913,-0.76514715,0.6438208,-0.0066912076,-0.003981737,0.0056606326,0.9999761,0.99193174,0.12677288,1.8417461E-4,-0.1267726,0.99193114,-0.0011159297,-3.2415814E-4,0.0010835779,0.99999934,-0.17237854,-0.04309082,10.079575,-0.03904724,0.055511475,9.806351,-0.05857849,0.03300476,0.0,-21.418762,17.977905,-19.47937,0
