Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz,mx,my,mz,nsax,nsay,nsaz,ax1,ay1,ayz,0.061554186,0.08783581,0.05899143
32,0.14126587,0,-0.002425445,0.065643206,0.04737826,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.08375402,-0.008586347,0.017398883,-0.009551364,0.034097668,0.04201716,,,
33,0.14569092,0,-0.036588624,0.023286998,0.025374088,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.04284502,0.13765499,0.050957356,-0.007647876,0.04547821,0.04558002,,,
34,0.15008545,0,0.009895207,0.085292,0.01511189,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.009985842,0.050280415,-0.024704352,-0.006617058,0.056808688,0.048320077,,,
35,0.1545105,0,0.050185956,0.08334096,-0.03673729,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.036366694,-0.01965459,-0.03484414,-0.004703102,0.067804255,0.049825937,,,
36,0.15893555,0,0.003126154,0.08730729,-0.023056949,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.009290401,0.1499779,0.12163351,-6.32E-04,0.077948086,0.049168672,,,
37,0.16333008,0,0.014482806,0.08042951,0.006530507,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.042085763,0.19168901,0.13947815,0.004378901,0.08726171,0.046689145,,,
38,0.16775513,0,0.0400548,0.07756035,0.016771581,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.04221682,0.1684393,0.08135399,0.009363697,0.09519519,0.04313483,,,
39,0.17218018,0,-0.005315939,0.03514336,-0.004797784,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.07726394,0.16576445,-0.018655438,0.014226256,0.10025317,0.03901319,,,
40,0.1765747,0,0.032164507,0.04252911,0.007996525,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.047655664,-0.002419002,0.13873634,0.01838098,0.10152915,0.03441065,,,
41,0.18099976,0,0.04140007,0.025112232,0.024207054,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.028332125,0.15642315,0.004973566,0.021935849,0.09870534,0.029325994,,,
42,0.1854248,0,-0.002534332,0.01556105,0.012321997,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.070092976,-0.01611995,0.022641033,0.025057107,0.092557445,0.023396889,,,
43,0.18981934,0,-0.036431957,0.002098413,0.00996555,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.06497839,0.16915613,0.05278308,0.02771897,0.08369527,0.016610667,,,
44,0.19424438,0,0.011570097,0.022158124,-0.02489735,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.16780885,0.11901658,-0.07797374,0.029400416,0.07232953,0.009199101,,,
45,0.19866943,0,0.023467565,0.04156287,0.0324324,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.034288384,0.111528076,-0.025211848,0.030059015,0.05988215,0.002097521,,,
46,0.20306396,0,0.00334476,-0.001346155,-0.035023373,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.0453618,0.052987494,9.83E-04,0.029597705,0.048160076,-0.003072053,,,
47,0.20748901,0,-0.006344366,0.030077541,-0.007946183,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.11809452,0.042830817,-0.005490406,0.028006382,0.037134595,-0.006699337,,,
48,0.21188354,0,-0.005134466,0.048411854,-0.003063126,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.046949018,-0.058237784,-0.06366679,0.025574204,0.0268465,-0.009463985,,,
49,0.2163086,0,0.038684458,0.007130919,0.035408664,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.06260039,0.028410867,-0.003636196,0.022421977,0.017092617,-0.011239116,,,
50,0.22073364,0,0.040934447,9.12E-04,0.022229958,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.07443355,0.004278101,-0.003697013,0.018979799,0.007791792,-0.011077532,,,
51,0.22512817,0,-0.014584769,-0.029045364,0.036179446,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.02600256,-0.035817444,-0.009378994,0.015367131,-7.62E-04,-0.009194242,,,
52,0.22955322,0,-0.013953361,0.03893656,0.014595222,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.08198735,-0.046545375,0.011722417,0.011476414,-0.008405646,-0.005761179,,,
53,0.23397827,0,0.005920316,0.026899721,0.034995507,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.033274345,-0.032059032,-0.06885693,0.007979704,-0.01347087,-0.001412287,,,
54,0.2383728,0,0.012094368,0.032015588,0.048847612,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.017518353,0.02063404,0.14751515,0.005256067,-0.015534629,0.003443582,,,
55,0.24279785,0,0.068839334,0.027808834,0.0430059,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.01066822,-0.115534134,-0.12575844,0.003320011,-0.014895662,0.009300228,,,
56,0.2472229,0,0.0207801,-0.005955105,-0.003557091,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.042506315,0.023385279,-0.003849768,0.003357585,-0.01248729,0.01566435,,,
57,0.25161743,0,0.01367679,0.001426679,0.031329043,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.035542354,0.05668465,-0.012279394,0.005285317,-0.009455425,0.021594249,,,
