time,ax,ay,az,imid,cf
0.0,9.572006,-0.12449646,2.0829468,1.0,0
0.004425049,9.567215,-0.1197052,2.087738,1.0,0
0.00881958,9.572006,-0.0909729,1.9584503,1.0,0
0.013244629,9.5767975,-0.05265808,1.8961945,1.0,0
0.017669678,9.634262,-0.11491394,2.1595612,1.0,0
0.022094727,9.62468,0.028717041,1.953659,1.0,0
0.026519776,9.60553,-0.14364624,2.0925293,1.0,0
0.030914307,9.653412,-0.04788208,2.015915,1.0,0
0.035339356,9.490601,-0.10055542,2.0446472,1.0,0
0.039764404,9.548065,-0.08139038,2.0829468,1.0,0
0.044189453,9.706085,-0.17237854,2.0446472,1.0,0
0.048583985,9.548065,-0.22026062,2.2170258,1.0,0
0.053009033,9.461884,-0.0909729,2.039856,1.0,0
0.057434082,9.548065,-0.1197052,1.8818359,1.0,0
0.061859131,9.485825,-0.09576416,2.1164703,1.0,0
0.06628418,9.485825,-0.09576416,2.1164703,1.0,0
0.070678711,9.485825,-0.09576416,2.1164703,1.0,0
0.07510376,9.533707,-0.15800476,2.1452026,1.0,0
0.079528809,9.533707,-0.15800476,2.1452026,1.0,0
0.083953858,9.643829,-0.16279602,2.1930847,1.0,0
0.088348389,9.62468,-0.15322876,2.2170258,1.0,0
0.092773438,9.524124,-0.24420166,2.202652,1.0,0
0.097198486,9.519333,-0.07661438,2.0254822,1.0,0
0.101623535,9.519333,-0.07661438,2.0254822,1.0,0
0.106018067,9.595947,-0.11012268,2.3271637,1.0,0
0.110443115,9.533707,-0.07182312,2.1404114,1.0,0
0.114868164,9.572006,-0.10055542,2.269699,1.0,0
0.119293213,9.476242,-0.22984314,2.2601166,1.0,0
0.123718262,9.476242,-0.22984314,2.2601166,1.0,0
0.128112793,9.5767975,-0.10055542,2.1068878,1.0,0
0.132537842,9.567215,-0.24420166,2.2601166,1.0,0
0.136962891,9.581589,-0.15800476,2.173935,1.0,0
0.14138794,9.60553,-0.009567261,2.0494232,1.0,0
0.145782471,9.595947,-0.10533142,2.1835022,1.0,0
0.15020752,9.62468,-0.028717041,2.0063324,1.0,0
0.154632569,9.581589,-0.04309082,2.0685883,1.0,0
0.159057617,9.543274,-0.1819458,2.1930847,1.0,0
0.163452149,9.567215,-0.11491394,2.1835022,1.0,0
0.167877197,9.5767975,-0.10055542,1.8243713,1.0,0
0.172302246,9.46666,-0.0909729,2.0590057,1.0,0
0.176727295,9.500183,-0.15322876,2.0829468,1.0,0
0.181152344,9.552856,-0.10533142,2.0542145,1.0,0
0.185546875,9.629471,-0.03829956,2.0207062,1.0,0
0.189971924,9.629471,-0.03829956,2.0207062,1.0,0
0.194396973,9.533707,-0.16279602,1.9680328,1.0,0
0.198822022,9.595947,-0.07182312,1.9728088,1.0,0
0.203216553,9.485825,-0.13885498,2.0781555,1.0,0
0.207641602,9.60553,-0.18673706,2.111679,1.0,0
0.212066651,9.639053,-0.05265808,2.0111237,1.0,0
0.216491699,9.648621,-0.1484375,2.2409668,1.0,0
0.220916748,9.572006,-0.08139038,2.0446472,1.0,0
0.225311279,9.528915,-0.04309082,1.9728088,1.0,0
0.229736328,9.509766,-0.10055542,2.1404114,1.0,0
0.234161377,9.557648,-0.12449646,2.2313843,1.0,0
0.238586426,9.552856,-0.16279602,2.1404114,1.0,0
0.242980957,9.500183,-0.1819458,1.9488678,1.0,0
0.247406006,9.648621,-0.26335144,2.0925293,1.0,0
0.251800537,9.481033,-0.0909729,2.2936401,1.0,0
0.256225586,9.58638,-0.07661438,2.2553253,1.0,0
0.260650635,9.58638,-0.19152832,2.202652,1.0,0
0.265045166,9.572006,-0.07661438,2.1212616,1.0,0
0.269439697,9.720444,-0.0909729,2.2553253,1.0,0
0.273803711,9.495392,-0.06703186,2.2936401,1.0,0
0.278167725,9.562439,-0.21546936,2.1452026,1.0,0
0.282531738,9.514557,-0.15800476,2.1882935,1.0,0
0.286895752,9.595947,-0.004776001,1.9919739,1.0,0
0.291259766,9.619888,-0.08618164,2.1643524,1.0,0
0.295623779,9.533707,-0.17237854,2.0829468,1.0,0
0.299987793,9.595947,0.028717041,2.0925293,1.0,0
0.304351807,9.42836,-0.08618164,2.15477,1.0,0
0.30871582,9.524124,-0.17237854,2.111679,1.0,0
0.313079834,9.610321,-0.18673706,2.0590057,1.0,0
0.317443848,9.533707,-0.07182312,2.1164703,1.0,0
0.321807861,9.533707,-0.07182312,2.1164703,1.0,0
0.326171875,9.533707,-0.07182312,2.1164703,1.0,0
0.330535889,9.528915,-0.12927246,2.0350647,1.0,0
0.334899903,9.60553,-0.16279602,1.9967499,1.0,0
0.339294434,9.524124,-0.22026062,2.178711,1.0,0
0.343658447,9.610321,-0.14364624,1.9680328,1.0,0
0.348022461,9.615112,-0.06703186,2.0015411,1.0,0
0.352386475,9.639053,-0.11491394,2.087738,1.0,0
0.356750488,9.557648,-0.0622406,2.1452026,1.0,0
0.361114502,9.552856,-0.1484375,2.221817,1.0,0
0.365478516,9.519333,-0.08618164,2.1020966,1.0,0
