Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz
50,0.21972656,0,1.7571156,1.5842808,-4.2564616,0.0,0.0,4.88616,0.0,0.0,1.2403072
51,0.2241211,0,1.6235511,1.1503664,-4.1006246,0.0,0.0,4.8681393,0.0,0.0,1.2617004
52,0.22851563,0,1.563092,1.2900915,-3.918921,0.0,0.0,4.850918,0.0,0.0,1.2830179
53,0.23291016,0,1.4433334,1.1003016,-3.7380614,0.0,0.0,4.834491,0.0,0.0,1.3042632
54,0.23730469,0,1.4665916,1.1101333,-3.6399946,0.0,0.0,4.818495,0.0,0.0,1.3254383
55,0.24169922,0,1.3906074,0.9915998,-3.4927955,0.0,0.0,4.8031454,0.0,0.0,1.3465458
56,0.24609375,0,1.4208944,0.9915266,-3.399807,0.0,0.0,4.788205,0.0,0.0,1.3675877
57,0.25048828,0,1.316829,0.8595941,-3.233017,0.0,0.0,4.7739973,0.0,0.0,1.3885672
58,0.2548828,0,1.2009544,0.8143312,-3.0451217,0.0,0.0,4.7606153,0.0,0.0,1.4094878
59,0.25927734,0,1.0678432,0.6283346,-2.8566275,0.0,0.0,4.748062,0.0,0.0,1.4303534
60,0.26367188,0,1.064687,0.63048863,-2.7557206,0.0,0.0,4.735952,0.0,0.0,1.4511657
61,0.2680664,0,1.0773189,0.44038388,-2.6734724,0.0,0.0,4.724203,0.0,0.0,1.4719263
62,0.27246094,0,0.97805697,0.5127868,-2.5143118,0.0,0.0,4.713154,0.0,0.0,1.4926385
63,0.27685547,0,0.94469637,0.41636774,-2.4042645,0.0,0.0,4.702588,0.0,0.0,1.5133041
64,0.28125,0,0.9281792,0.22993073,-2.3132625,0.0,0.0,4.6924224,0.0,0.0,1.533925
65,0.28564453,0,0.81829494,0.28777245,-2.1481194,0.0,0.0,4.6829824,0.0,0.0,1.5545045
66,0.29003906,0,0.84620637,0.19003138,-2.095224,0.0,0.0,4.673775,0.0,0.0,1.5750436
67,0.2944336,0,0.9405665,0.07730035,-2.09838,0.0,0.0,4.6645536,0.0,0.0,1.5955421
68,0.29882813,0,0.7890833,0.13917789,-1.9050069,0.0,0.0,0.0,0.0,0.0,1.5955421
69,0.30322266,0,0.6898747,-0.103116535,-1.7542019,0.0,0.0,0.0,0.0,0.0,1.5955421
70,0.3076172,0,0.6142439,-0.14390185,-1.6254911,0.0,0.0,0.0,0.0,0.0,1.5955421
71,0.31201172,0,0.57577604,-0.17714244,-1.5302649,0.0,0.0,0.0,0.0,0.0,1.5955421
72,0.31640625,0,0.48517364,-0.17743751,-1.3935099,0.0,0.0,0.0,0.0,0.0,1.5955421
73,0.32080078,0,0.42989188,-0.1908702,-1.2857294,0.0,0.0,0.0,0.0,0.0,1.5955421
74,0.3251953,0,0.33846372,-0.48307416,-1.1535149,0.0,0.0,0.0,0.0,0.0,1.5955421
75,0.32958984,0,0.32960683,-0.2546975,-1.0863323,0.0,0.0,0.0,0.0,0.0,1.5955421
76,0.33398438,0,0.33020562,-0.2947733,-1.0350723,0.0,0.0,0.0,0.0,0.0,1.5955421
77,0.3383789,0,0.27067035,-0.52928185,-0.93398666,0.0,0.0,0.0,0.0,0.0,1.5955421
78,0.34277344,0,0.24373806,-0.40779117,-0.8713522,0.0,0.0,0.0,0.0,0.0,1.5955421
79,0.34716797,0,0.25465703,-0.6172582,-0.8329706,0.0,0.0,0.0,0.0,0.0,1.5955421
80,0.3515625,0,0.24558777,-0.48282424,-0.7831383,0.0,0.0,0.0,0.0,0.0,1.5955421
81,0.35595703,0,0.02465409,-0.522262,-0.55220795,0.0,0.0,0.0,0.0,0.0,1.5955421
82,0.36035156,0,0.0023217797,-0.58935595,-0.48985577,0.0,0.0,0.0,0.0,0.0,1.5955421
83,0.3647461,0,0.11617488,-0.4527116,-0.5548067,0.0,0.0,0.0,0.0,0.0,1.5955421
84,0.36914063,0,0.20080274,-0.67399544,-0.5894022,0.0,0.0,0.0,0.0,0.0,1.5955421
85,0.37353516,0,0.10130048,-0.56755066,-0.4707842,0.0,0.0,0.0,0.0,0.0,1.5955421
86,0.3779297,0,0.046916723,-0.6931269,-0.3836813,0.0,0.0,0.0,0.0,0.0,1.5955421
87,0.38232422,0,0.09996599,-0.63567245,-0.40019226,0.0,0.0,0.0,0.0,0.0,1.5955421
88,0.38671875,0,0.033230484,-0.69884425,-0.30664158,0.0,0.0,0.0,0.0,0.0,1.5955421
89,0.39111328,0,-0.018915892,-0.6981075,-0.2247467,0.0,0.0,0.0,0.0,0.0,1.5955421
90,0.3955078,0,0.24803346,-0.58146954,-0.44113922,0.0,0.0,0.0,0.0,0.0,1.5955421
91,0.39990234,0,0.058850408,-0.693539,-0.24304771,0.0,0.0,0.0,0.0,0.0,1.5955421
92,0.40429688,0,0.029845476,-0.7265971,-0.18411827,0.0,0.0,0.0,0.0,0.0,1.5955421
93,0.4086914,0,-0.045063257,-0.69582164,-0.08900261,0.0,0.0,0.0,0.0,0.0,1.5955421
94,0.41308594,0,-0.10469663,-0.6251055,-0.0107421875,0.0,0.0,0.0,0.0,0.0,1.5955421
95,0.41748047,0,-0.09680152,-0.6096774,0.0070343018,0.0,0.0,0.0,0.0,0.0,1.5955421
96,0.421875,0,-0.05226344,-0.587108,-0.009755135,0.0,0.0,0.0,0.0,0.0,1.5955421
97,0.42626953,0,-0.116627455,-0.71629524,0.07609749,0.0,0.0,0.0,0.0,0.0,1.5955421
98,0.43066406,0,-0.124566674,-0.6063852,0.0931654,0.0,0.0,0.0,0.0,0.0,1.5955421
99,0.4350586,0,-0.18054473,-0.72083914,0.16834736,0.0,0.0,0.0,0.0,0.0,1.5955421
