Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Imid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35673523,9.236816,2.384613,0.1846466,9.408005,2.7608032,0.0,0.0,0.0,0.0,0.0,0.0,0
0.004425049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21307373,9.2799225,2.5378418,0.18135071,9.408463,2.759903,0.0,0.0,0.0,0.0,0.0,0.0,0
0.008850098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999996,9.311761E-5,9.071014E-4,-9.307536E-5,1.0,-4.662271E-5,-9.071057E-4,4.653826E-5,0.9999996,0.22265625,9.332596,2.4899597,0.1782074,9.408752,2.759018,0.010665894,0.20770264,-0.021316528,0.0,0.0,0.0,0
0.013275146,0.030225571,0.28077096,-0.9592988,-0.9993835,0.02564469,-0.023982782,0.017867249,0.9594322,0.281373,0.99999845,1.8438896E-4,0.0017588735,-1.8425957E-4,1.0,-7.372806E-5,-0.001758887,7.3403855E-5,0.99999845,0.35673523,9.318222,2.432495,0.17521667,9.408752,2.7593079,0.0063934326,0.19918823,-0.021316528,-31.99768,-22.361755,-7.5531006,0
0.017700195,0.030171653,0.28084168,-0.9592797,-0.99939066,0.025323616,-0.02401942,0.017546779,0.95941997,0.28143466,0.99955285,0.029895866,5.546124E-4,-0.029871777,0.9992238,-0.025679141,-0.0013218821,0.025651094,0.9996701,0.3375702,9.222458,2.408554,0.17207336,9.4086,2.759903,-0.027679443,0.20451355,-0.031967163,-31.99768,-22.361755,-7.5531006,0
0.022125244,0.030056939,0.28099218,-0.95923924,-0.99939895,0.025032323,-0.023982532,0.017273083,0.95938355,0.28157568,0.998257,0.058977086,-0.0021575382,-0.059010625,0.9969726,-0.05062971,-8.349862E-4,0.05066878,0.99871516,0.16519165,9.375687,2.542633,0.16938782,9.408157,2.761261,-0.034072876,0.17893982,-0.036224365,-31.99768,-22.361755,-7.5531006,0
0.026519775,0.029899586,0.2811986,-0.9591837,-0.99940854,0.024713684,-0.023908298,0.016981985,0.9593313,0.28177118,0.9961626,0.08729207,-0.00635085,-0.08752251,0.9933492,-0.07481466,-2.2211486E-4,0.075083405,0.99717724,0.11251831,9.418777,2.604889,0.16653442,9.407715,2.7631989,-0.050048828,0.14273071,-0.024505615,-31.99768,-22.361755,-7.5531006,0
0.030944824,0.02969522,0.2814666,-0.95911145,-0.9994189,0.024428066,-0.023774382,0.016737541,0.9592601,0.28202844,0.9933099,0.11486343,-0.011906103,-0.115477815,0.98844165,-0.098224275,4.8611156E-4,0.09894204,0.9950931,0.01675415,9.46666,2.6815033,0.1641388,9.4071045,2.765747,-0.05644226,0.11503601,-0.029830933,-31.99768,-22.361755,-7.5531006,0
0.035369873,0.029465292,0.28176808,-0.95903,-0.9994287,0.024195984,-0.023597594,0.016555624,0.95917743,0.28232005,0.9897488,0.14158957,-0.018700674,-0.14281355,0.9823522,-0.12078234,0.0012691302,0.12221488,0.9925028,0.07421875,9.433151,2.6958618,0.16235352,9.4062195,2.7685852,-0.06602478,0.08627319,-0.020248413,-31.99768,-22.361755,-7.5531006,0
0.039794922,-0.0022089386,0.28271258,-0.9592022,-0.999864,0.015049903,0.006738345,0.016340913,0.95908654,0.28264087,0.9855118,0.16748509,-0.026745152,-0.16959247,0.9751672,-0.14243346,0.002225514,0.14490563,0.989443,-0.07899475,9.519333,2.7150116,0.1602478,9.405319,2.7717285,-0.076675415,0.037261963,-0.0234375,-32.714844,-22.361755,-6.515503,0
0.044219971,-0.0024145436,0.28298944,-0.95912004,-0.9998658,0.014858416,0.006901112,0.016203946,0.95900786,0.28291556,0.9805196,0.1931142,-0.035892516,-0.19639546,0.96685296,-0.16316922,0.0031924925,0.16703974,0.985945,-0.11251831,9.514557,2.7772675,0.15890503,9.404572,2.7744293,-0.08200073,0.024475098,-0.022369385,-32.714844,-22.361755,-6.515503,0
0.04864502,-0.002563577,0.2831901,-0.9590604,-0.99986696,0.014726814,0.0070211673,0.016112229,0.95895076,0.28311467,0.97492397,0.21773277,-0.04599682,-0.22249888,0.9575899,-0.18307315,0.004185065,0.18871665,0.9820227,-0.13166809,9.658203,2.901764,0.15800476,9.403961,2.7763672,-0.067092896,0.012771606,-0.0021362305,-32.714844,-22.361755,-6.515503,0
0.053070068,0.0027675352,0.28339458,-0.95899945,-0.9998666,0.01622238,0.0019084143,0.016098086,0.9588662,0.2834016,0.968745,0.24140166,-0.057082884,-0.24800248,0.94743896,-0.20212421,0.005289429,0.20996352,0.97769487,-0.14604187,9.62468,2.7964172,0.15786743,9.4032135,2.7792053,-0.04258728,-0.022369385,-0.0010681152,-31.99768,-20.568848,-6.1706543,0
0.057495117,0.002603026,0.28362978,-0.9589304,-0.999867,0.016175373,0.0020701576,0.016098212,0.9587974,0.28363413,0.96207273,0.26395264,-0.068885006,-0.27271786,0.93657273,-0.22012858,0.006412296,0.23056586,0.97303563,-0.24180603,9.739609,2.8634644,0.15786743,9.402466,2.7814636,-0.07028198,-0.031967163,0.014892578,-31.99768,-20.568848,-6.1706543,0
0.061920166,0.0024862965,0.28379664,-0.9588813,-0.99986464,0.016301421,0.0022321101,0.016264593,0.9587459,0.28379872,0.95491576,0.28550625,-0.08137665,-0.29678136,0.9250031,-0.23725533,0.007535781,0.25070992,0.96803296,-0.07421875,9.768341,2.9831696,0.15950012,9.402023,2.7830963,-0.05644226,-0.038360596,0.024475098,-31.99768,-20.568848,-6.1706543,0
0.066345215,-0.010080734,0.28416577,-0.9587222,-0.9998146,0.012863291,0.014325498,0.016403139,0.95868886,0.2839834,0.94731426,0.30602068,-0.0945886,-0.32018575,0.9128039,-0.25351563,0.008759824,0.2704449,0.9626956,-0.16998291,9.581589,2.9400787,0.16085815,9.401428,2.7848969,-0.03300476,-0.0660553,0.041519165,-32.17621,-22.54181,-6.3430786,0
0.072296143,-0.010117783,0.28421444,-0.9587073,-0.9998099,0.013099668,0.014435036,0.016661394,0.9586712,0.2840279,0.9391992,0.32580203,-0.108433865,-0.34322667,0.8999713,-0.2687881,0.010015664,0.28966296,0.95707625,0.05984497,9.610321,2.9448547,0.16339111,9.401276,2.7853394,-0.034072876,-0.078826904,0.04046631,-32.17621,-22.54181,-6.3430786,0
0.07824707,-0.010119837,0.28421718,-0.95870656,-0.99980545,0.013363047,0.01451526,0.016936725,0.95866686,0.28402662,0.9391992,0.32580203,-0.108433865,-0.34322667,0.8999713,-0.2687881,0.010015664,0.28966296,0.95707625,0.05984497,9.610321,2.9448547,0.16609192,9.401276,2.7853394,-0.034072876,-0.078826904,0.04046631,-32.17621,-22.54181,-6.3430786,0
