Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
6011.341531701,-0.91365904,0.3927074,-0.10491953,-0.40617284,-0.8920857,0.19800735,-0.015838265,0.22352666,0.9745692,-0.88951975,0.44165334,-0.11703356,-0.4565823,-0.86875093,0.19184487,-0.01694409,0.22408526,0.9744222,-0.0622406,2.281662,9.536102,0
6011.34595675,-0.9133978,0.39314538,-0.105552256,-0.406734,-0.89193875,0.19751677,-0.016493334,0.22334306,0.9746004,-0.8900122,0.44060424,-0.11724397,-0.4555982,-0.8693506,0.1914674,-0.017564759,0.22382449,0.97447115,-0.11491394,2.281662,9.516937,0
6011.350381799,-0.89355993,0.43398306,-0.11493134,-0.44862247,-0.8728483,0.19202505,-0.016982004,0.2231467,0.974637,-0.89049745,0.43956223,-0.11747071,-0.4546252,-0.8699316,0.19114143,-0.018172929,0.22361608,0.9745079,-0.08618164,2.3918,9.603134,0
6011.35477633,-0.89343566,0.43416277,-0.11521953,-0.4488538,-0.8728368,0.1915363,-0.017409924,0.22284207,0.9746991,-0.8905833,0.43931454,-0.117746286,-0.454436,-0.87013394,0.19066943,-0.018691184,0.22331516,0.97456706,0.0,2.300827,9.593552,0
6011.359201379,-0.89334697,0.43429074,-0.11542495,-0.4490178,-0.8728362,0.19115488,-0.017730275,0.22259547,0.9747496,-0.8906437,0.43913582,-0.117955066,-0.45429915,-0.87030596,0.19020982,-0.019129055,0.22299609,0.9746316,0.03829956,2.3726501,9.373291,0
6011.363626428,-0.8785024,0.4620189,-0.12154028,-0.47739968,-0.85856754,0.18695292,-0.017974764,0.22226188,0.9748213,-0.8907328,0.43891403,-0.11810852,-0.4541073,-0.8705093,0.1897369,-0.019536378,0.22263882,0.9747053,0.11491394,2.2385712,9.397232,0
6011.368020959,-0.87849754,0.46202534,-0.121550955,-0.47740114,-0.8586512,0.18656455,-0.018172316,0.22192506,0.9748944,-0.89050645,0.43931976,-0.11830653,-0.45453775,-0.8703955,0.18922782,-0.019841954,0.22228338,0.97478014,-0.028717041,2.324768,9.411606,0
6011.372446008,-0.8785354,0.46197513,-0.12146893,-0.47732815,-0.85875756,0.18626198,-0.018263966,0.22161825,0.97496253,-0.8903308,0.439652,-0.11839397,-0.4548711,-0.87033707,0.18869452,-0.020082735,0.22185455,0.97487295,-0.0143585205,2.3774414,9.469055,0
6011.376871057,-0.8936127,0.43380243,-0.115203865,-0.4484667,-0.87341243,0.18981212,-0.018279515,0.22128358,0.97503823,-0.89015317,0.4400133,-0.11838756,-0.45521408,-0.8702499,0.18826881,-0.020185988,0.22147976,0.974956,-0.02394104,2.3774414,9.440323,0
6011.381265588,-0.8937231,0.43364263,-0.11494866,-0.44824904,-0.87358046,0.18955237,-0.018218914,0.22093293,0.9751188,-0.89027,0.43982753,-0.118199445,-0.45498365,-0.87044424,0.1879274,-0.02023038,0.22108492,0.97504467,0.15800476,2.2625122,9.469055,0
6011.385690637,-0.893865,0.43343684,-0.1146202,-0.44797197,-0.8737598,0.18937986,-0.018066324,0.22062668,0.97519094,-0.890397,0.43962705,-0.11798785,-0.45473334,-0.8706518,0.18757132,-0.020264903,0.22066596,0.97513884,0.15322876,2.3774414,9.344559,0
6011.390115686,-0.9047793,0.41154423,-0.1095715,-0.42550343,-0.88437676,0.1918978,-0.017928062,0.22024816,0.9752791,-0.8905144,0.4394632,-0.11771234,-0.4545064,-0.8708304,0.1872923,-0.020199418,0.2202875,0.9752258,0.1197052,2.3630676,9.378082,0
6011.394510217,-0.9049575,0.41125917,-0.1091689,-0.42513308,-0.884589,0.19173974,-0.017714892,0.21992762,0.9753553,-0.8908687,0.43885663,-0.11729334,-0.45381442,-0.8712571,0.18698516,-0.020132978,0.21980867,0.97533524,0.31123352,2.1044922,9.497787,0
6011.398935266,-0.9051838,0.41089645,-0.10865679,-0.42466414,-0.88483334,0.19165125,-0.017394328,0.21962227,0.9754299,-0.8912159,0.43823835,-0.1169671,-0.45313495,-0.8716414,0.18684185,-0.020072104,0.21951832,0.9754019,0.31123352,2.1954803,9.646225,0
6011.403360315,-0.919609,0.37949476,-0.10150343,-0.3924616,-0.8987974,0.1952872,-0.017120551,0.21942408,0.97547936,-0.8915874,0.43760732,-0.11649806,-0.45241228,-0.8720408,0.18672957,-0.01987684,0.21919088,0.97547954,0.3543396,2.3103943,9.607925,0
6011.407754846,-0.91974175,0.37926638,-0.10115413,-0.3921605,-0.89894265,0.1952235,-0.016890064,0.21922384,0.97552836,-0.89224404,0.4363938,-0.11602153,-0.4511207,-0.8727092,0.18673173,-0.019764494,0.21894999,0.9755359,0.25378418,2.2194214,9.454697,0
6011.412179895,-0.9198966,0.37899944,-0.10074605,-0.3918083,-0.8991186,0.19512123,-0.016631808,0.21896447,0.9755912,-0.8928994,0.43517554,-0.11555508,-0.44982746,-0.8733691,0.1867666,-0.019645981,0.21874362,0.97558457,0.4165802,2.2242126,9.74678,0
6011.416604944,-0.87944096,0.46108213,-0.1182659,-0.47572312,-0.85994864,0.18486692,-0.01646375,0.21884137,0.9756215,-0.8935337,0.43399677,-0.11508407,-0.44857016,-0.87402695,0.18671277,-0.01955384,0.21845742,0.97565055,0.22505188,2.2385712,9.737213,0
6011.420999475,-0.8795931,0.46087348,-0.11794766,-0.47545025,-0.8600876,0.18492258,-0.016219411,0.21873486,0.9756495,-0.8933265,0.43443263,-0.11504763,-0.44898593,-0.87384117,0.18658295,-0.019475637,0.21833427,0.97567976,0.37828064,2.2385712,9.3302,0
6011.425424524,-0.8796719,0.46076524,-0.117782675,-0.47530806,-0.8601686,0.1849115,-0.016112156,0.21864451,0.9756715,-0.8933265,0.43443263,-0.11504763,-0.44898593,-0.87384117,0.18658295,-0.019475637,0.21833427,0.97567976,0.37828064,2.2385712,9.3302,0
6011.429849573,-0.87978595,0.46060848,-0.11754373,-0.47510213,-0.86028713,0.1848894,-0.015959727,0.21850838,0.9757046,-0.8933265,0.43443263,-0.11504763,-0.44898593,-0.87384117,0.18658295,-0.019475637,0.21833427,0.97567976,0.37828064,2.2385712,9.3302,0
