Time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GravX,GravY,GravZ,MagX,MagY,MagZ,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9
18874.886208988,0.0,0.0,0.0,-0.16998291,0.09576416,9.852127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18874.890603519,-0.043655396,0.012756348,0.0138549805,-0.09336853,0.04309082,9.880859,-0.16488647,0.074661255,9.80484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18874.897286868,-0.029800415,0.03086853,0.0021362305,-0.09336853,0.04309082,9.880859,-0.16593933,0.07331848,9.80484,-12.571716,33.95996,-7.4417114,0.9367729,0.34968725,0.01323927,-0.34952843,0.93683666,-0.012920961,-0.01692133,0.007476505,0.9998289
18874.89499805,-0.029800415,0.03086853,0.0021362305,-0.07899475,0.10055542,9.823395,-0.16593933,0.07331848,9.80484,-12.571716,33.95996,-7.4417114,0.9367729,0.34968725,0.01323927,-0.34952843,0.93683666,-0.012920961,-0.01692133,0.007476505,0.9998289
18874.899392581,-0.020217896,0.03300476,0.010650635,-0.08857727,0.09576416,9.967056,-0.1668396,0.0725708,9.80484,-12.571716,33.95996,-7.4417114,0.93676347,0.34970838,0.013351632,-0.34954938,0.9368294,-0.012881916,-0.017013116,0.007400254,0.99982786
18874.903787113,-0.014892578,0.015960693,-0.0010681152,-0.09336853,-0.08139038,9.718063,-0.16653442,0.0725708,9.80484,-12.571716,33.95996,-7.4417114,0.93676585,0.34970292,0.013322556,-0.34954432,0.93683136,-0.012870966,-0.016982006,0.0074002584,0.9998284
18874.91050098,-0.012756348,-0.0032043457,0.0063934326,-0.09336853,-0.08139038,9.718063,-0.16638184,0.07196045,9.80484,-12.213135,35.035706,-5.368042,0.94353676,0.33098948,0.013581988,-0.3308333,0.943606,-0.012539415,-0.016966458,0.007338024,0.9998292
18874.908181644,-0.012756348,-0.0032043457,0.0063934326,-0.18434143,-0.05265808,9.828186,-0.16638184,0.07196045,9.80484,-12.213135,35.035706,-5.368042,0.94353676,0.33098948,0.013581988,-0.3308333,0.943606,-0.012539415,-0.016966458,0.007338024,0.9998292
18874.912576175,0.0032043457,0.0,0.0032043457,-0.20350647,0.05744934,9.785095,-0.16638184,0.071517944,9.80484,-12.213135,35.035706,-5.368042,0.9435358,0.33099142,0.013596895,-0.33083582,0.9436056,-0.012496869,-0.016966464,0.007292903,0.9998295
18874.916970706,0.008529663,-0.0021362305,0.0021362305,-0.12210083,-0.03829956,9.971848,-0.16653442,0.071517944,9.80484,-12.213135,35.035706,-5.368042,0.9435349,0.33099335,0.0136115495,-0.33083755,0.94360495,-0.012502043,-0.016982019,0.007292901,0.99982923
