Time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GravX,GravY,GravZ,MagX,MagY,MagZ,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9
16977.240408632,0.0,0.0,0.0,-0.002380371,0.01675415,9.737213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16977.244772646,0.017044067,-0.004272461,-0.0010681152,-0.08857727,0.03590393,9.727631,-0.061935425,0.06329346,9.806198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16977.253103945,0.0021209717,-0.018112183,0.010650635,-0.08857727,0.03590393,9.727631,-0.062088013,0.06314087,9.806198,-0.3829956,34.381104,-8.843994,0.99989927,0.012745995,0.0062487996,-0.012705242,0.9998981,-0.0065186606,-0.006331249,0.006438611,0.99995923
16977.24913666,0.0021209717,-0.018112183,0.010650635,-0.05984497,0.06463623,9.856918,-0.062088013,0.06314087,9.806198,-0.3829956,34.381104,-8.843994,0.99989927,0.012745995,0.0062487996,-0.012705242,0.9998981,-0.0065186606,-0.006331249,0.006438611,0.99995923
16977.253561709,0.0053253174,-0.008529663,0.0021362305,-0.05027771,0.08857727,9.670166,-0.062088013,0.06314087,9.806198,-0.3829956,34.381104,-8.843994,0.99989927,0.012745995,0.0062487996,-0.012705242,0.9998981,-0.0065186606,-0.006331249,0.006438611,0.99995923
16977.257986757,0.0053253174,-0.0010681152,0.0063934326,-0.13166809,-0.02154541,9.789886,-0.062088013,0.06329346,9.806198,-0.3829956,34.381104,-8.843994,0.99989927,0.012745944,0.006248601,-0.012705093,0.999898,-0.006534218,-0.0063312487,0.00645417,0.9999592
16977.266318056,-0.0095825195,0.004257202,0.0021362305,-0.13166809,-0.02154541,9.789886,-0.0622406,0.06298828,9.806198,-0.3829956,34.381104,-8.843994,0.9998991,0.012750039,0.006264529,-0.012709281,0.9998981,-0.0065033254,-0.0063468087,0.0064230515,0.99995923
16977.262411806,-0.0095825195,0.004257202,0.0021362305,-0.12689209,0.04069519,9.727631,-0.0622406,0.06298828,9.806198,-0.3829956,34.381104,-8.843994,0.9998991,0.012750039,0.006264529,-0.012709281,0.9998981,-0.0065033254,-0.0063468087,0.0064230515,0.99995923
16977.266836855,-0.018096924,0.0063934326,0.0063934326,-0.09336853,0.04548645,9.818619,-0.06254578,0.06283569,9.806198,-0.3829956,34.381104,-8.843994,0.9998988,0.012758078,0.006295792,-0.012717217,0.99989814,-0.0064882124,-0.0063779275,0.006407491,0.9999592
16977.271261904,0.0010528564,0.004257202,-0.0063934326,-0.16040039,0.05505371,9.756363,-0.062683105,0.06283569,9.806198,-0.3829956,34.381104,-8.843994,0.99989873,0.012761673,0.0063097714,-0.012720722,0.9998982,-0.0064884135,-0.006391931,0.0064074905,0.9999591
16977.279532167,-0.0032043457,-0.0010681152,0.0063934326,-0.16040039,0.05505371,9.756363,-0.06298828,0.062683105,9.806198,1.2313843,34.55963,-7.9803467,0.9993972,-0.034076586,0.0066372654,0.03411761,0.99939877,-0.0061692013,-0.0064230496,0.00639193,0.99995893
16977.275686953,-0.0032043457,-0.0010681152,0.0063934326,-0.24180603,-0.03111267,9.607925,-0.06298828,0.062683105,9.806198,1.2313843,34.55963,-7.9803467,0.9993972,-0.034076586,0.0066372654,0.03411761,0.99939877,-0.0061692013,-0.0064230496,0.00639193,0.99995893
16977.280112001,-0.004272461,0.0,0.0032043457,-0.18434143,0.15083313,9.622284,-0.06373596,0.06239319,9.806198,1.2313843,34.55963,-7.9803467,0.9993973,-0.034059253,0.0067123473,0.03410055,0.99939954,-0.006137169,-0.00649929,0.0063623646,0.99995863
16977.284506533,0.0053253174,-0.0053253174,0.004272461,-0.05027771,0.07421875,9.895233,-0.064193726,0.062683105,9.806198,1.2313843,34.55963,-7.9803467,0.99939734,-0.034048263,0.006759938,0.03409005,0.9993998,-0.0061651943,-0.0065459665,0.0063919253,0.9999582
16977.292654726,0.01171875,0.010650635,-0.0053253174,-0.05027771,0.07421875,9.895233,-0.064193726,0.06283569,9.806198,-0.56152344,34.20105,-8.67157,0.99981654,0.018045453,0.0064294077,-0.0180035,0.9998166,-0.006524433,-0.006545965,0.0064074835,0.999958
16977.288931582,0.01171875,0.010650635,-0.0053253174,-0.03590393,0.08857727,9.86171,-0.064193726,0.06283569,9.806198,-0.56152344,34.20105,-8.67157,0.99981654,0.018045453,0.0064294077,-0.0180035,0.9998166,-0.006524433,-0.006545965,0.0064074835,0.999958
16977.29335663,0.0010528564,-0.009597778,0.004272461,-0.05984497,0.07421875,9.770737,-0.06404114,0.06283569,9.806198,-0.56152344,34.20105,-8.67157,0.9998167,0.01804152,0.006413877,-0.017999668,0.99981683,-0.006524129,-0.0065304064,0.006407485,0.9999582
16977.297781679,0.0021209717,0.0095825195,0.0032043457,-0.15083313,0.04069519,9.627075,-0.06404114,0.06298828,9.806198,-0.56152344,34.20105,-8.67157,0.9998167,0.018041449,0.006413597,-0.017999496,0.9998166,-0.006539684,-0.006530405,0.006423043,0.999958
16977.305777285,-0.010650635,-0.0053253174,0.0063934326,-0.15083313,0.04069519,9.627075,-0.064331055,0.06283569,9.806198,0.87280273,34.55963,-9.362793,0.999703,-0.023430051,0.0067084297,0.02347205,0.99970496,-0.00625188,-0.0065599685,0.0064074835,0.999958
16977.302206728,-0.010650635,-0.0053253174,0.0063934326,-0.09336853,0.20350647,9.732422,-0.064331055,0.06283569,9.806198,0.87280273,34.55963,-9.362793,0.999703,-0.023430051,0.0067084297,0.02347205,0.99970496,-0.00625188,-0.0065599685,0.0064074835,0.999958
16977.306631777,-0.034072876,0.017028809,0.009597778,-0.16519165,0.07899475,9.799454,-0.06523132,0.061935425,9.806198,0.87280273,34.55963,-9.362793,0.999703,-0.02340581,0.006797904,0.02344776,0.99970615,-0.006158115,-0.0066517703,0.0063156807,0.9999579
