Time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GravX,GravY,GravZ,MagX,MagY,MagZ,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9
17895.975132823,0.0,0.0,0.0,-0.07899475,0.22505188,9.773117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17895.979557872,-0.04472351,-0.0063934326,-0.0095825195,-0.08857727,0.14364624,9.854523,-0.107284546,0.1560669,9.804703,-11.6744995,27.684021,-8.651733,0.920979,0.38959312,0.0038761226,-0.38945875,0.92084956,-0.01891919,-0.01094011,0.015914585,0.99981344
17895.983952403,-0.050048828,-0.007461548,-0.004257202,-0.21307373,0.27772522,9.979019,-0.10682678,0.15382385,9.80484,-11.6744995,27.684021,-8.651733,0.9209736,0.38960516,0.0039219484,-0.3894726,0.9208484,-0.018690214,-0.010893324,0.015685704,0.99981767
17895.988377452,-0.08627319,0.0,0.01171875,-0.10293579,0.12449646,9.98381,-0.10713196,0.15052795,9.80484,-11.6744995,27.684021,-8.651733,0.9209553,0.38964704,0.004080736,-0.38951522,0.9208364,-0.018393075,-0.010924497,0.015349688,0.9998225
17895.992771983,-0.0947876,0.0053253174,-0.0063934326,-0.18434143,0.18673706,9.801849,-0.107284546,0.14633179,9.80484,-11.495972,27.864075,-9.861755,0.92385614,0.38271457,0.0043970314,-0.38258344,0.92374617,-0.017972624,-0.010940126,0.01492189,0.9998289
17895.997197032,-0.102249146,0.003189087,-0.01171875,-0.09815979,0.12449646,9.897629,-0.10772705,0.14199829,9.804993,-11.495972,27.864075,-9.861755,0.92382914,0.38277754,0.0046065943,-0.38264763,0.92372715,-0.017581776,-0.010985144,0.014479851,0.99983484
17896.001591563,-0.09159851,0.018081665,0.003189087,-0.08378601,0.1197052,9.931137,-0.1083374,0.13795471,9.804993,-11.495972,27.864075,-9.861755,0.9238013,0.38284186,0.0048207478,-0.38271278,0.9237068,-0.017225083,-0.011047441,0.014067593,0.99984
17896.006016612,-0.08413696,0.0053253174,-0.0010681152,-0.08378601,0.0622406,9.8688965,-0.10847473,0.13421631,9.804993,-10.957336,26.966858,-10.03418,0.9257712,0.37805033,0.0050670365,-0.37792245,0.92568386,-0.016852323,-0.011061501,0.013686448,0.99984515
17896.010411143,-0.07774353,0.020217896,-0.007461548,-0.10772705,0.11012268,9.854523,-0.10922241,0.1304779,9.805145,-10.957336,26.966858,-10.03418,0.9257424,0.37811807,0.0052804686,-0.3779909,0.92566186,-0.016528413,-0.011137619,0.013305082,0.99984944
17896.014836192,-0.064971924,0.013824463,0.007461548,-0.04069519,0.11012268,9.830582,-0.109680176,0.12763977,9.805145,-10.957336,26.966858,-10.03418,0.9257218,0.37816617,0.0054322793,-0.37803978,0.92564625,-0.016278468,-0.011184335,0.0130157145,0.9998527
17896.019230723,-0.04472351,0.029800415,-0.0010681152,-0.08378601,0.05265808,9.907196,-0.11071777,0.12553406,9.805145,-11.6744995,28.401184,-9.689331,0.9242272,0.38180265,0.00554802,-0.38167602,0.9241552,-0.016141655,-0.011290159,0.012801011,0.9998543
17896.023655772,-0.036209106,0.010650635,-0.004257202,0.05505371,0.11012268,9.739609,-0.11102295,0.12359619,9.805145,-11.6744995,28.401184,-9.689331,0.9242142,0.38183266,0.005651719,-0.38170663,0.92414546,-0.015971111,-0.0113213025,0.012603429,0.9998565
17896.028050303,-0.04472351,0.010650635,-0.007461548,-0.12210083,0.11491394,9.773117,-0.11071777,0.12164307,9.805145,-11.6744995,28.401184,-9.689331,0.9242082,0.38184628,0.005698776,-0.38172185,0.9241425,-0.01577528,-0.011290214,0.012404298,0.9998593
17896.032475352,-0.015960693,0.014892578,-0.0032043457,-0.06942749,0.1197052,9.907196,-0.11087036,0.12164307,9.805145,-12.571716,26.429749,-8.479309,0.9024282,0.43081284,0.004859402,-0.43069184,0.902356,-0.016064659,-0.011305773,0.012404297,0.9998591
17896.036900401,-0.028747559,0.010650635,0.0010681152,-0.03590393,0.12927246,9.835373,-0.11102295,0.12030029,9.805145,-12.571716,26.429749,-8.479309,0.9024188,0.43083173,0.0049321055,-0.43071118,0.9023489,-0.01594792,-0.011321349,0.012267388,0.99986064
17896.041294932,0.0021362305,0.013824463,-0.0095825195,-0.23701477,0.17237854,9.849731,-0.11071777,0.12030029,9.805145,-12.571716,26.429749,-8.479309,0.9024224,0.4308245,0.0049041486,-0.4307044,0.90235233,-0.015934478,-0.011290233,0.012267392,0.99986094
17896.045719981,-0.011703491,0.003189087,-0.007461548,-0.15560913,0.004776001,9.696503,-0.111328125,0.12060547,9.805145,-11.13739,27.146912,-10.5529785,0.9243566,0.38148567,0.005802835,-0.3813608,0.92429286,-0.015699,-0.01135246,0.012298498,0.9998598
17896.050114512,0.0053253174,0.004257202,0.0,-0.11730957,0.12927246,9.926346,-0.111465454,0.120147705,9.805145,-11.13739,27.146912,-10.5529785,0.9243522,0.38149574,0.0058334167,-0.381371,0.9242894,-0.015661262,-0.01136647,0.012251825,0.99986035
17896.054539561,0.0,0.006378174,0.0,-0.18434143,0.05265808,9.82579,-0.111465454,0.120147705,9.805145,-11.13739,27.146912,-10.5529785,0.9243522,0.38149574,0.0058334167,-0.381371,0.9242894,-0.015661262,-0.01136647,0.012251825,0.99986035
17896.058934092,0.019180298,-0.0021362305,-0.0095825195,-0.11251831,0.10533142,9.8736725,-0.11177063,0.11985779,9.805145,-11.13739,27.864075,-10.20813,0.927793,0.37304685,0.006015968,-0.37292123,0.927732,-0.015591564,-0.011397589,0.012222261,0.99986035
17896.063359141,0.017044067,-0.0021362305,-0.0021362305,-0.05505371,0.14364624,9.883255,-0.11177063,0.11985779,9.805145,-11.13739,27.864075,-10.20813,0.927793,0.37304685,0.006015968,-0.37292123,0.927732,-0.015591564,-0.011397589,0.012222261,0.99986035
17896.067753672,0.022369385,-0.0063934326,-0.0032043457,-0.04548645,0.07182312,9.902405,-0.111465454,0.11985779,9.805145,-11.13739,27.864075,-10.20813,0.9277968,0.37303782,0.0059872447,-0.37291268,0.9277356,-0.0155799035,-0.0113664735,0.012222266,0.9998607
17896.072178721,0.04473877,-0.014923096,-0.0021362305,-0.20828247,0.13885498,9.816223,-0.110580444,0.12164307,9.805145,-11.315918,28.401184,-11.418152,0.92815155,0.37215662,0.0058505135,-0.37203175,0.92808706,-0.015709588,-0.0112762125,0.012404301,0.99985945
17896.076573252,0.029830933,0.0010528564,-0.0053253174,-0.06463623,0.14364624,9.926346,-0.11087036,0.12284851,9.805145,-11.315918,28.401184,-11.418152,0.92815405,0.3721503,0.0058323117,-0.37202427,0.9280879,-0.015834613,-0.011305756,0.0125272,0.99985766
17896.080998301,0.03727722,-0.0063934326,-0.010650635,-0.10293579,0.12449646,9.730026,-0.11042786,0.12449646,9.805145,-11.315918,28.401184,-11.418152,0.92816913,0.3721146,0.0057285014,-0.37198827,0.92809993,-0.015973555,-0.011260614,0.012695225,0.99985594
17896.085392832,0.041549683,-0.009597778,-0.0010681152,-0.10293579,0.12927246,9.94072,-0.10997009,0.12628174,9.805145,-10.957336,27.684021,-10.725403,0.9290507,0.3699094,0.0056557017,-0.36978263,0.9289787,-0.016111752,-0.0112139145,0.012877252,0.9998542
17896.089817881,0.039413452,-0.014923096,-0.012786865,-0.04548645,0.20111084,9.777908,-0.10922241,0.12792969,9.805145,-10.957336,27.684021,-10.725403,0.9290689,0.36986542,0.0055234646,-0.36973894,0.92899376,-0.0162394,-0.011137657,0.01304528,0.9998529
17896.094212413,0.030899048,-0.009597778,-0.010650635,-0.17477417,0.10055542,9.801849,-0.10847473,0.12942505,9.805145,-10.957336,27.684021,-10.725403,0.9290864,0.36982334,0.0053969617,-0.36969727,0.9290083,-0.016352614,-0.011061401,0.01319775,0.9998517
17896.098637461,0.0234375,-0.0138549805,0.0053253174,-0.21786499,0.1197052,9.76355,-0.108184814,0.13032532,9.805145,-12.033081,28.042603,-10.03418,0.91832525,0.39579654,0.004871579,-0.39567277,0.91824204,-0.01657048,-0.011031828,0.013289541,0.99985087
