Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
7006.91044322,0.67240775,0.738756,0.045906417,-0.73736006,0.67396516,-0.04550908,-0.06455943,-0.0032488995,0.99790853,0.68387157,0.72819394,0.045312997,-0.72686297,0.6853655,-0.044093944,-0.063164905,-0.002781747,0.9979992,0.0058288574,-0.05192566,-0.13018799,0
7006.914868269,0.67239213,0.73876876,0.045928486,-0.73737425,0.6739509,-0.04548903,-0.06455943,-0.0032800192,0.9979085,0.68387157,0.72819394,0.045312997,-0.72686297,0.6853655,-0.044093944,-0.063164905,-0.002781747,0.9979992,0.0058288574,-0.051620483,-0.13018799,0
7006.919293318,0.6723844,0.7387752,0.045939527,-0.7373814,0.6739439,-0.04547901,-0.06455943,-0.003295579,0.9979085,0.68337715,0.7286467,0.045493163,-0.7273138,0.68488353,-0.044149745,-0.06332709,-0.002916876,0.9979886,-0.013320923,-0.070617676,0.11401367,0
7006.923718367,0.7219145,0.69024163,0.04904857,-0.6889596,0.7235711,-0.042181987,-0.0646059,-0.0033406918,0.99790525,0.6831696,0.72883946,0.04552388,-0.72750664,0.6846783,-0.04415591,-0.06335178,-0.0029529463,0.9979869,-0.10862732,-0.09413147,-0.015258789,0
7006.928143416,0.72190803,0.69024783,0.049058925,-0.6889665,0.7235653,-0.04217117,-0.06460589,-0.0033562514,0.9979052,0.68396217,0.7280928,0.045569934,-0.72676,0.68547237,-0.04413059,-0.06336809,-0.0029347525,0.9979859,-0.0032958984,-0.06524658,0.05177307,0
7006.932568464,0.72195375,0.6902051,0.04898699,-0.6889201,0.72360647,-0.042223852,-0.06459042,-0.0032644528,0.9979065,0.6846721,0.72741944,0.045661237,-0.7260878,0.6861866,-0.044094447,-0.06340729,-0.0029638293,0.9979833,-0.11357117,-0.0038909912,0.04219055,0
7006.936993513,0.7409174,0.66972136,0.05014742,-0.66848296,0.7426053,-0.040838894,-0.06459042,-0.0032644528,0.9979065,0.68544567,0.7266931,0.045622345,-0.7253602,0.6869563,-0.04408736,-0.063378535,-0.0028731416,0.9979854,0.006134033,-0.023040771,-0.020050049,0
7006.941418562,0.74091667,0.6697219,0.050148487,-0.6684821,0.74260473,-0.04086084,-0.064605914,-0.00324889,0.99790555,0.68660164,0.72559714,0.0456819,-0.7242621,0.6881139,-0.04408518,-0.063422434,-0.0028167155,0.99798274,-0.05596924,0.06297302,-0.10145569,0
7006.945843611,0.7408926,0.6697455,0.05018984,-0.668506,0.7425834,-0.040859107,-0.06463535,-0.0032800029,0.9979035,0.68772167,0.7245297,0.04577779,-0.72319245,0.68923795,-0.044087037,-0.06349416,-0.0027865411,0.9979783,-0.07003784,-0.08035278,0.10444641,0
7006.95026866,0.66672474,0.743908,0.045596033,-0.7424961,0.66827416,-0.04592599,-0.064635366,-0.00323488,0.9979037,0.6888724,0.7234256,0.04593683,-0.7220884,0.69039655,-0.044056043,-0.0635859,-0.0028214606,0.99797237,-0.031723022,0.09635925,0.04219055,0
